event_id,device_id,device_hw_form,device_hw_proc,device_hw_ram,device_hw_display,device_hw_video,device_os_name,device_os_version,device_type,product_name
7.77E+18,8F91DA8F10D90D6A554C1EF30B627A1DB572AB4EEC347B01A4566FD1352DD416&81634F91F80D1651F42AC4FF031094C880F6D7B6DED0C7848CC1A3B3F28D31BC&762DAC9CAA5D02AA09C4A9C79A80457F67E6C93276689649B591CD98064B4F84,,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz,32GB 2147483650,"1920x1080 120,120 32, 1920x1080 120,120 42","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_8079103C&REV_07\3&11583659&0&10, \\.\DISPLAY11",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2017
9.31E+18,F38171DA8A2255259925FB88BB818D9B696B69E543DD352F94C1B23030EC7FF7&EE4C349F551B6E401718FF6941B689FE882427B49826A40EF194AFD13A54B189&66A5791D57D151DBCDFCC34E81E275E88592D81D30761D69B728634E23FFFCDE,,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz,32GB 2147483651,"1920x1080 120,120 32, 1920x1080 120,120 43","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_8079103C&REV_07\3&11583659&0&10, \\.\DISPLAY12",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2017
1.35E+19,ABC6EFBB048A47744B2BA337B667952A6B9AE0E17AD15C2783B0744BDA08AA95&F82286ADCD68537A997664BD07B95E8B708AA8BB83DF68331C45F3AD907190B8&1F088E6DBCA29A0FF4D0AD09DA054B9B192A214A73FDB366E7635B66EE2D30DC,,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz,32GB 2147483652,"1920x1080 120,120 35","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_8079103C&REV_07\3&11583659&0&10, \\.\DISPLAY13",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2017
1.75E+19,A02282DEC94A2F2C392DA657619475AD9B708B37948B14DC1DFA02CE9F1F40CE&2304AAF3F1E26A998774641E2F263738E42CE1EF289F16CBFAC91CE8958FA09E&4D007DC0A2F84BAD030FED869D771E0C783F40696BC5474797ADCFEB021E1C04,Desktop,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i5-4690K CPU @ 3.50GHz,4GB 1073741824,"1360x768 96,96 32","X550 Graphic Controller, X300BUS\X550VIDEO\6&15FD7898&0&01",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2018
1.78E+19,F5DA1EA514D528053D69EED5B67E5F2099AF8D2379DDD01C8671FE09C28F7007&ADB46ACD5877B975813DE9F6AFDD68480369F31BA565669E4B8B7F4616493EB1&CD5AB72304EFF924F142F2D65153AED6F8717A1CEDB867837A2F57DFA39892D0,Desktop,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i5-4690K CPU @ 3.50GHz,4GB 1073741825,"1360x768 96,96 33","NVIDIA GeForce GTX TITAN X, PCI\VEN_10DE&DEV_17C2&SUBSYS_113210DE&REV_A1\4&1955A1F&0&0010, \\.\DISPLAY1",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2018
1.20E+19,0303B797D30C372B70615E48AC5E6FED4E398AC3045F267928DC934104D203CE&E1372EAC334F5E20C0F1419D4FF81D3E0391E321C01A9D6B3E86E541A0A9393A&7CB95EE7430BB100130B3506F7D8DB5CDAF5AE7AA3BA98E5598700F021A9ABC4,Desktop,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i5-4690K CPU @ 3.50GHz,4GB 1073741826,"1360x768 96,96 34","NVIDIA GeForce GTX TITAN X, PCI\VEN_10DE&DEV_17C2&SUBSYS_113210DE&REV_A1\4&1955A1F&0&0010, \\.\DISPLAY2",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2018
1.66E+19,4903D53F9D98CFF2CB1940E31362EF257C17F271E1D3F7CAE05F9C0EAD59965C&2D48673C72C61C47007810675481248C0389B2858351416FE9497E3D439DBEA8&36799294EA8D8590693AF88774B0AA89848D7256771A1601DEDB22962603356B,Desktop,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i5-4690K CPU @ 3.50GHz,4GB 1073741827,"1360x768 96,96 35","NVIDIA GeForce GTX TITAN X, PCI\VEN_10DE&DEV_17C2&SUBSYS_113210DE&REV_A1\4&1955A1F&0&0010, \\.\DISPLAY3",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACDLT2018
1.81E+19,ED9DC09A69AA60B119FA5A73845F7D3B37894AED8D2FC9B04615DBD71E436279&458538CC85292975124C5895329D0E1854ACEFCB42758465D94081DFD721FBF3&F92D9B3DD060DC6A080C891D62314BBA291A66113E5288B9E353DD4BD0BE7FB9,Desktop,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i5-4690K CPU @ 3.50GHz,4GB 1073741828,"1360x768 96,96 36","NVIDIA GeForce GTX TITAN X, PCI\VEN_10DE&DEV_17C2&SUBSYS_113210DE&REV_A1\4&1955A1F&0&0010, \\.\DISPLAY4",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2018
1.58E+19,424B52AB9A8FDC49B7E7D10D04C82A5BEBD8896BFF1339D0BB9D203B75C151DF&F6DA16B1D075CFC7AE80F436C2A1C51E6C26F9012E930D96F0CDE62AB28C411E&F1E522A89B940EA066F16A54E266DA0F2A671ABE89D85E53D05CE31E7886D01D,Slate,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i5-4690K CPU @ 3.50GHz,4GB 1073741829,"1360x768 96,96 37","NVIDIA GeForce GTX TITAN X, PCI\VEN_10DE&DEV_17C2&SUBSYS_113210DE&REV_A1\4&1955A1F&0&0010, \\.\DISPLAY5",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2018
1.70E+19,AC846B4DE6EF2274D2697A3084B211B9F3F2BCB5637DCA76B974576C542402C9&2D9EAE9BC0BCB3157B82575764D05BD456A4629B7718A24DDFB1EF680EBC3061&3915E4F6338BBDE868DAA547DD895D3D81EEF182DF1F3769BA8BBB22EDE787AC,Desktop,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i5-4690K CPU @ 3.50GHz,4GB 1073741830,"1360x768 96,96 38","NVIDIA GeForce GTX TITAN X, PCI\VEN_10DE&DEV_17C2&SUBSYS_113210DE&REV_A1\4&1955A1F&0&0010, \\.\DISPLAY6",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2018
2.00E+18,36EB5E6C392A0849BFD42B5764BCE1922F771C5854C610AA709665F36BF0ED1F&2C9CFFCFF1EBB1B32EB066998742CFC3904F46A676C1C39655EEA6F2FA8121E8&24AFB89B477288CFBCA39D2C8067C7D494867E25B0991D365ECCCAF917A1F79B,,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i5-4690K CPU @ 3.50GHz,4GB 1073741831,1920x1080,"NVIDIA GeForce GTX TITAN X, PCI\VEN_10DE&DEV_17C2&SUBSYS_113210DE&REV_A1\4&1955A1F&0&0010, \\.\DISPLAY7",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2017
2.42E+18,EB49D02A5FCD4FEA85D397838AD89C74FCA2E70DC2A571998F3F41D5F4AC88C0&5FCE34B57FFE06A0059590DBB722B39116F7026F4C290AAAEE068B5FD1F57E15&A110BC523670D4AAE1EDC4775AB360E8731947D82130FB4FF89D69999B34A54E,,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i5-4690K CPU @ 3.50GHz,4GB 1073741832,1920x1081,"NVIDIA GeForce GTX TITAN X, PCI\VEN_10DE&DEV_17C2&SUBSYS_113210DE&REV_A1\4&1955A1F&0&0010, \\.\DISPLAY8",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2017
9.22E+18,52155F6FF2C6BB190D637C6ECF07B8BF95D88F7E3D12E7FA9D3D2237BE431435&D0D27FBB18613A74505C5D495E564E1CCC827680EDDE1724617C1E325D2DD9AC&5E7501E872C05548599DEAC274A9FD2390736FDE26E3A52D6CAD4C0399A7BC6B,Desktop,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,8GB 2147483648,"1920x1080 96,96 32, 1920x1080 96,96 32","NVIDIA GeForce GTX TITAN X, PCI\VEN_10DE&DEV_17C2&SUBSYS_113210DE&REV_A1\4&1955A1F&0&0010, \\.\DISPLAY9",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2018
1.84E+19,D24F519F9DA7EB3D4F3C1B554991A574AFBEDDDABB00ADCBBF0737FC64866A12&D97F8A0C1527A16B56FC3052A04B89832F279F7034A295140E9D3748E5B9C32A&7402C21125CA994184000ABB14B33D10604C5758E3BCAC15D66A7E64E5D519A2,Slate,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,8GB 2147483649,"1920x1080 96,96 32, 1920x1080 96,96 33","NVIDIA GeForce GTX TITAN X, PCI\VEN_10DE&DEV_17C2&SUBSYS_113210DE&REV_A1\4&1955A1F&0&0010, \\.\DISPLAY10",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACDLT2018
1.58E+19,E2DA98CC885A077178AE3F491AA20F7C19877FC0C8565A349C726AE6F9DB9BFC&A43E7CF1903E6645D1B6AE706F7192E4586FC3EAE9E557B1E55F3797B7206DCB&BBFD5D14D3E948B704F5AB239737001C495AAEB4FFDC82A279CFD7E898B5EFF0,,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,8GB 2147483650,"1920x1080 96,96 32, 1920x1080 96,96 34","NVIDIA GeForce GTX TITAN X, PCI\VEN_10DE&DEV_17C2&SUBSYS_113210DE&REV_A1\4&1955A1F&0&0010, \\.\DISPLAY11",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2017
1.64E+19,07FA7ED0289553E0CA589F09576A8EC998544DA91ACDAE86BACF73D362644981&DBFFC33EBF4DF966FDDC0AA32F916D1883618DF6A9CE5DF4E04EAE9CA89CFB18&550229986AF40AEBE0D79421B25441A182BEAD1174CA719FFFD52C5002006A5B,,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,8GB 2147483651,"1920x1080 96,96 32, 1920x1080 96,96 35","NVIDIA GeForce GTX TITAN X, PCI\VEN_10DE&DEV_17C2&SUBSYS_113210DE&REV_A1\4&1955A1F&0&0010, \\.\DISPLAY12",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2017
6.91E+18,6C2914E0A7130F781B89E0BF6A5925B28C60F7567AC0B792FDA3D30410A79FB5&4253EEDCCE2D758BBCCB41B83899E66F99FAF4EE3BC48F3E3510C1464645B2AF&6B4E087131F19C1EB0284CE6202DE97CA86753782AD0694035132B42B2251514,Slate,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,8GB 2147483652,"1920x1080 96,96 32, 1920x1080 96,96 36","NVIDIA GeForce GTX TITAN X, PCI\VEN_10DE&DEV_17C2&SUBSYS_113210DE&REV_A1\4&1955A1F&0&0010, \\.\DISPLAY13",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601,,ACD2018
8.83E+18,4B9755F500DB756FA157B5B31593485DA57BCFA2039C67F98D57EF18814BAA78&40B6C2D2C28564B8D0835349CB70448E94A1700C00F2BAA27C6E9BC2B6D83852&899A6C0A11CFCC5525DEDA3DCCAF0CCCFA65C4DB5E7985A8BFDD976E84A6794D,,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,8GB 2147483653,"1920x1080 96,96 32, 1920x1080 96,96 37","NVIDIA GeForce GTX TITAN X, PCI\VEN_10DE&DEV_17C2&SUBSYS_113210DE&REV_A1\4&1955A1F&0&0010, \\.\DISPLAY14",Microsoft Windows 10 å®¶ç”¨ç‰ˆ,6.1.7601 Service Pack 1 Build 7601,,ACD2017
1.78E+19,A02282DEC94A2F2C392DA657619475AD9B708B37948B14DC1DFA02CE9F1F40CE&9E40E18DC5C94C71B48CB400047F8AE2EC9C856FCE16BFC6BFD8B1907F407A54&57AA0E767763CE231BCC6A0E427C7AC0F5E2876E11FB7AB93548DA4F96FE28BD,Desktop,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,8GB 2147483654,"1920x1080 96,96 32, 1920x1080 96,96 38","NVIDIA GeForce GTX TITAN X, PCI\VEN_10DE&DEV_17C2&SUBSYS_113210DE&REV_A1\4&1955A1F&0&0010, \\.\DISPLAY15",Microsoft Windows 10 å®¶ç”¨ç‰ˆ,6.1.7601 Service Pack 1 Build 7601,,ACD2018
1.61E+19,5D9CBC8EFC07AB47C34D1E59640ABF15F1D6AA3F9AC1069DB431E322017E6843&1420234615334C01C8D26846F782509F35C5EBC863FFFDC6E91B44A1D6BFDD01&D4BF82310EA3A8CF94EC6A0713AD094ACC600DCE8C5BEA2379EFB2463ABD6164,Desktop,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,8GB 2147483655,"1920x1080 96,96 32, 1920x1080 96,96 39","NVIDIA GeForce GTX TITAN X, PCI\VEN_10DE&DEV_17C2&SUBSYS_113210DE&REV_A1\4&1955A1F&0&0010, \\.\DISPLAY16",Microsoft Windows 10 å®¶ç”¨ç‰ˆ,6.1.7601 Service Pack 1 Build 7601,,ACDLT2018
1.43E+19,E24D4CE8DBC2A1252B75BDE4E12B70C355BFD12224DD99A5992FB5BF3D065BD2&F4D7D8A644908E6C3E705DDA258B09246E1734BD9156EF1E4A8A95A6C6AE60B7&6BE371649E637499C1CA46DC257B5C2B3CFC961ACC4C6E1CF39A52A7682E2FFD,Slate,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,8GB 2147483656,"1920x1080 96,96 32, 1920x1080 96,96 40","NVIDIA GeForce GTX TITAN X, PCI\VEN_10DE&DEV_17C2&SUBSYS_113210DE&REV_A1\4&1955A1F&0&0010, \\.\DISPLAY17",Microsoft Windows 10 å®¶ç”¨ç‰ˆ,6.1.7601 Service Pack 1 Build 7601,,ACD2018
1.83E+19,15A6E987EFC7A0E8826E58BF4F65B2FDCC4BFD45F1AC2763C5E770840BA9AFEE&AB0B1E249E47A1F12B69CCA5FADD46CCD6CA8AA61324C0DACC0DF0D7F91239EE&A070470B36726D151BFDAF61E32662051DF43738D2D1EF6A3997E4B9CD6F39A1,,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,8GB 2147483657,1280x1024,"NVIDIA GeForce GTX TITAN X, PCI\VEN_10DE&DEV_17C2&SUBSYS_113210DE&REV_A1\4&1955A1F&0&0010, \\.\DISPLAY18",Microsoft Windows 10 å®¶ç”¨ç‰ˆ,6.1.7601 Service Pack 1 Build 7601,,ACD2017
4.45E+18,90E38DEEA6341919489E537F47F532048A888E396A817CF622918D7220E32FE7&5DD5CAF3E1A893A05EB2E78E037FFF2AEC810E44F6A7736F42AB84CFA5AB9793&8C09156ACCE812A0AB676E141DDE366B7F6B590EB3F00D041440DD17BFCD7FF0,,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,16GB 4293918720,1920x1080,NVIDIA GeForce GT 620,Microsoft Windows 10 Pro,10.0.15063  Build 15063,,ACD2017
6.87E+18,08CAAFB30C481CA4DC0DFB65C13736F6EEDAC0A1DECA051FA25D4F859629B431&76F7F954A483E85F2FC0D3B779BBF4F65A3D69A19BD7CE375441C56EE622EEA7&AE38E3DEC8ED7F7FBA37D264B84D7ADD84802FD29EADC37DFB1C1CE47D199AF5,,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,16GB 4293918721,1920x1080,NVIDIA GeForce GT 620,Microsoft Windows 10 Pro,10.0.15063  Build 15063,,ACD2017
1.64E+19,D8D2ED27D8049548A270F69FD648348B9E7B65B1FCBB0A62B19BC41A9626BCCF&CF444D1425DB8D28C81F4270A60BEE32397594999FBAB91BA75BCC70BF491B05&4DA4CBAEF98FECEA840F37C0B8C25B05B1FF2994E1BBD5F3288B4CE2D7E58719,Slate,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,16GB 4293918722,1920x1080,NVIDIA GeForce GT 620,Microsoft Windows 10 Pro,10.0.15063  Build 15063,,ACD2018
6.02E+18,99549AB7465C861506076B136017349CC4DE04ACCFE7193C570D71B94538CE34&B0092E12E8DDEA1D8B3470DB5CDE214CC0F5D3CE9A510B01E3A1112DD0531049&A2459D62A9BA82DE8D5FCD918EC40147085003B8DBDE21A986F636B07ECF379B,,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,16GB 4293918723,1920x1080,NVIDIA GeForce GT 620,Microsoft Windows 10 Pro,10.0.15063  Build 15063,,ACD2017
4.31E+18,55FB0B137CD77121734E780E283A0AF39551FC8E4FCE9270E8BAF1D222E175AF&2042F6062A2CDA7A5C8E9BD28E1CA4329328288EAB775472259DFD99D1CCF5DE&8590772BB7A41910573A58D0E99408EBA0C53A5B1102B9A03F7219B01D56CD0C,,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,16GB 4293918724,1920x1080,NVIDIA GeForce GT 620,Microsoft Windows 10 Pro,10.0.15063  Build 15063,,ACD2017
1.37E+19,E24D4CE8DBC2A1252B75BDE4E12B70C355BFD12224DD99A5992FB5BF3D065BD2&F4D7D8A644908E6C3E705DDA258B09246E1734BD9156EF1E4A8A95A6C6AE60B7&6BE371649E637499C1CA46DC257B5C2B3CFC961ACC4C6E1CF39A52A7682E2FFD,Slate,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,16GB 4293918725,1920x1080,NVIDIA GeForce GT 620,Microsoft Windows 10 Pro,10.0.15063  Build 15063,,ACD2018
1.78E+19,05AAB8F09E63090F0B35F9098F499940D40969EA234080C05CC26F4BEFF01AC1&25C046EE6B9045C0970E497E289F836F07F8C318E182C3ED013F3691EB23585B&F8ED7D7724A6769898133FAC27566DE4DB7E747B33575336793BFC0D2794C751,Desktop,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,16GB 4293918726,1920x1080,NVIDIA GeForce GT 620,Microsoft Windows 10 Pro,10.0.15063  Build 15063,,ACDLT2018
7.46E+17,60E2D0051C7C12FBB57598F87418ACB2DF9C6428BF31A83D902F537702458BB8&5138011596AA3D76C6E9F9F8839638A0289E7C1969CA04A5B6EA0AFE7111B092&A839744DBC28C33A8D9FE20809FF8461183AA62B79BAC7DDF51DFF42D1DD9BCD,,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,16GB 4293918727,1920x1080,NVIDIA GeForce GT 620,Microsoft Windows 10 Pro,10.0.15063  Build 15063,,ACD2017
1.81E+19,B350696B5B2BE7D4D522D4917E40B8E57F6B260604E102E66F056802BEC58BBA&160D83E83599E5D1783B883049E7F211E589B6A6968FA7088B2B1E132DB152BD&67B1BDE56F20515A9F3798074CBD0B98E7BB05DD43BBE5231EF5757D426B360A,Desktop,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,16GB 4293918728,1920x1080,NVIDIA GeForce GT 620,Microsoft Windows 10 Pro,10.0.15063  Build 15063,,ACD2018
4.42E+18,F471978C5BA20E0C51F1D525D6C339727CB2435CDDB545131719196C1BAEB4B9&0614402F0FABB54C67E8F5BD714710557DD4CDBAD9FB1AA7663B6DF40B8C16B7&98E7F85E39EE7944E87AF4272F4FA22A5648262436CB795AF27333B12C00D7EE,,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,16GB 4293918729,1920x1080,NVIDIA GeForce GT 620,Microsoft Windows 10 Pro,10.0.15063  Build 15063,,ACD2017
