,device_hw_proc,device_hw_ram,device_hw_display,device_hw_video,device_os_name,device_os_version
376337,Intel(R) Core(TM) i3-3240 CPU @ 3.40GHz,3GB,1920x1080,NVIDIA GeForce GT 610 ,Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
138878,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i5-6440HQ CPU @ 2.60GHz,8GB 1073741824,"1920x1080 144,144 32","Intel(R) HD Graphics 530, PCI\VEN_8086&DEV_191B&SUBSYS_07D01028&REV_06\3&11583659&0&10",Microsoft Windows 10 Pro,10.0.15063  Build 15063
697921,Intel(R) Core(TM) i7-6800K CPU @ 3.40GHz,16GB,1920x1080,NVIDIA GeForce GTX 1060 6GB,Microsoft Windows 10 专业版,10.0.15063  Build 15063
681060,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,8GB,1920x1080,NVIDIA GeForce GTX 950,Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
765913,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,8GB,1920x1080,NVIDIA GeForce GTX 750,Microsoft Windows 10 专业版,10.0.14393  Build 14393
691526,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,16GB 2147483648,"1920x1080 96,96 32, 1920x1080 96,96 32","NVIDIA GeForce GT 740, PCI\VEN_10DE&DEV_0FC8&SUBSYS_36551458&REV_A1\4&2D78AB8F&0&0008, \\.\DISPLAY1",Microsoft Windows 10 Pro,10.0.16299  Build 16299
476186,Intel64 Family 6 Model 158 Stepping 9 Intel(R) Core(TM) i5-7300HQ CPU @ 2.50GHz,8GB 1073741824,"1920x1080 120,120 32","Intel(R) HD Graphics 630, PCI\VEN_8086&DEV_591B&SUBSYS_8259103C&REV_04\3&11583659&0&10",Майкрософт Windows 10 Pro,10.0.15063  Build 15063
123330,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz,24GB 0,"1920x1200 96,96 32","Microsoft Basic Display Adapter, PCI\VEN_10DE&DEV_1185&SUBSYS_098A10DE&REV_A1\4&519621C&0&0008",Microsoft Windows 10 Enterprise 2016 LTSB,10.0.14393  Build 14393
542309,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4GB 1073741824,"1280x1024 96,96 32","Intel(R) HD Graphics 4600, PCI\VEN_8086&DEV_0412&SUBSYS_198E103C&REV_06\3&11583659&0&10",Microsoft Windows 10 Pro,10.0.16299  Build 16299
296049,Intel64 Family 6 Model 58 Stepping 9 Intel(R) Core(TM) i5-3210M CPU @ 2.50GHz,8GB 2214592512,"1600x900 96,96 32","Intel(R) HD Graphics 4000, PCI\VEN_8086&DEV_0166&SUBSYS_C0D1144D&REV_09\3&11583659&0&10",Microsoft Windows 10 Home,10.0.15063  Build 15063
54648,Intel(R) Core(TM) i3-4005U CPU @ 1.70GHz,4GB,1366x768,Intel(R) HD Graphics Family,Microsoft Windows 8.1 Single Language,6.3.9600  Build 9600
491209,Intel64 Family 6 Model 58 Stepping 9 Intel(R) Core(TM) i7-3770K CPU @ 3.50GHz,16GB 2147483648,"1920x1080 96,96 32","NVIDIA Quadro 4000, PCI\VEN_10DE&DEV_06DD&SUBSYS_078010DE&REV_A3\4&BAB4994&0&0008",Microsoft Windows 10 Pro,10.0.15063  Build 15063
483176,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,8GB,1920x1200,NVIDIA GeForce 210 ,Microsoft Windows 8 Pro,6.2.9200  Build 9200
741141,Intel64 Family 6 Model 142 Stepping 9 Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,8GB 0,"1920x1080 96,96 32, 1920x1080 96,96 32","mv video hook driver2, ROOT\DISPLAY\0000, \\.\DISPLAY1",Microsoft Windows 10 Home,10.0.14393  Build 14393
402074,AMD Phenom(tm) II X6 1090T Processor,14GB,1920x1080,AMD Radeon HD 5600/5700,Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
430223,Intel(R) Pentium(R) CPU G4400 @ 3.30GHz,8GB,1920x1080,Intel(R) HD Graphics 510,Microsoft Windows 7 專業版 ,6.1.7601 Service Pack 1 Build 7601
301512,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Xeon(R) CPU E3-1270 v5 @ 3.60GHz,16GB 4293918720,"1280x1024 96,96 32","NVIDIA Quadro M2000, PCI\VEN_10DE&DEV_1430&SUBSYS_11901028&REV_A1\4&21ADC36D&0&0008",Microsoft Windows 10 Pro,10.0.14393  Build 14393
521529,Intel(R) Celeron(R) CPU G530 @ 2.40GHz,4GB,1920x1080,Intel(R) HD Graphics,Microsoft Windows 10 专业版,10.0.15063  Build 15063
309005,Intel(R) Core(TM) i3-3240 CPU @ 3.40GHz,8GB,1920x1080,NVIDIA GeForce GT 640,Microsoft Windows 10 Pro,10.0.15063  Build 15063
17980,Intel64 Family 6 Model 42 Stepping 7 Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz,8GB 2147483648,"1920x1080 96,96 32, 1920x1080 96,96 32","NVIDIA GeForce GTX 550 Ti, PCI\VEN_10DE&DEV_1244&SUBSYS_00000000&REV_A1\4&2ECE1234&0&0008, \\.\DISPLAY1",Microsoft Windows 7 Professional K ,6.1.7601 Service Pack 1 Build 7601
353135,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4GB,1366x768,Intel(R) HD Graphics Family,Microsoft Windows 10 Enterprise,10.0.16299  Build 16299
227528,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,16GB 2147483648,"1440x900 96,96 32","NVIDIA GeForce GT 630, PCI\VEN_10DE&DEV_0F00&SUBSYS_0F001569&REV_A1\4&3834D97&0&0008",Microsoft Windows 7 Home Premium ,6.1.7601 Service Pack 1 Build 7601
655088,Intel64 Family 6 Model 158 Stepping 9 Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,16GB 3221225472,"1920x1080 96,96 32, 1920x1080 96,96 32","NVIDIA GeForce GTX 1060 3GB, PCI\VEN_10DE&DEV_1C02&SUBSYS_11C210DE&REV_A1\4&30760922&0&0008, \\.\DISPLAY1",Microsoft Windows 10 Pro,10.0.15063  Build 15063
685788,Intel64 Family 6 Model 142 Stepping 9 Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,16GB 1073741824,"1920x1080 120,120 32","Intel(R) HD Graphics 620, PCI\VEN_8086&DEV_5916&SUBSYS_07671028&REV_02\3&11583659&0&10",Microsoft Windows 10 Home Single Language,10.0.16299  Build 16299
594675,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,8GB,1366x768,Intel(R) HD Graphics Family,Microsoft Windows 10 Home,10.0.15063  Build 15063
572619,Intel(R) Core(TM) i3-4160 CPU @ 3.60GHz,3GB,,,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
711310,Intel(R) Pentium(R) CPU G630 @ 2.70GHz,4GB,1440x900,NVIDIA GeForce GT 630,Microsoft Windows 10 专业版,10.0.15063  Build 15063
582833,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,16GB,1920x1080,NVIDIA GeForce GTX 550 Ti,Microsoft Windows 7 Professional K ,6.1.7601 Service Pack 1 Build 7601
640579,Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz,4GB,1280x1024,Intel(R) HD Graphics,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
347271,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,16GB 2147483648,"1600x900 96,96 32","NVIDIA GeForce GT 730, PCI\VEN_10DE&DEV_0F02&SUBSYS_00000000&REV_A1\4&2D78AB8F&0&0008",Microsoft Windows 7 Ultimate ,6.1.7601 Service Pack 1 Build 7601
422814,x64 Family 6 Model 60 Stepping 3 Intel(R) Pentium(R) CPU G3260 @ 3.30GHz,3GB 8580380013122027520,"1920x1080 96,96 32","Intel(R) HD Graphics, PCI\VEN_8086&DEV_0402&SUBSYS_85341043&REV_06\3&11583659&0&10",Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
228077,Intel(R) Core(TM) i7-4700HQ CPU @ 2.40GHz,16GB,1920x1080,Intel(R) HD Graphics 4600,Microsoft Windows 10 Home,10.0.15063  Build 15063
364409,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i5-6440HQ CPU @ 2.60GHz,8GB 1073741824,"1920x1080 120,120 32","Intel(R) HD Graphics 530, PCI\VEN_8086&DEV_191B&SUBSYS_80D5103C&REV_06\3&11583659&2&10",Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
202113,"AMD64 Family 21 Model 96 Stepping 1 AMD A10-8700P Radeon R6, 10 Compute Cores 4C+6G",3GB 2147483648,"1366x768 96,96 32","AMD Radeon (TM) R5 M330, PCI\VEN_1002&DEV_6660&SUBSYS_511617AA&REV_83\4&10B7A530&0&0019",Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
349954,Intel(R) Core(TM) i5-3320M CPU @ 2.60GHz,12GB,1600x900,Intel(R) HD Graphics 4000,Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601
528917,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN
130648,Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz,3GB,1280x1024,Intel(R) 4 Series Internal Chipset,Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601
321021,"AMD A8-7600 Radeon R7, 10 Compute Cores 4C+6G  ",7GB,1920x1080,AMD Radeon(TM) R7 Graphics,Microsoft Windows 10 家用版,10.0.14393  Build 14393
366856,Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz,4GB,1920x1080,NVIDIA GeForce GT 720,Microsoft Windows 10 家庭中文版,10.0.14393  Build 14393
444776,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,4GB,1600x900,Intel(R) HD Graphics 620,Microsoft Windows 10 Home Single Language,10.0.15063  Build 15063
328354,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i7-4770K CPU @ 3.50GHz,16GB 2147483648,"1920x1080 96,96 32","AMD Radeon R9 200 Series, PCI\VEN_1002&DEV_6810&SUBSYS_E271174B&REV_00\4&CD6A312&0&0008",Microsoft Windows 10 Pro,10.0.15063  Build 15063
458517,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i5-6440HQ CPU @ 2.60GHz,16GB 1073741824,"1920x1080 144,144 32, 2400x1350 120,120 32","Intel(R) HD Graphics 530, PCI\VEN_8086&DEV_191B&SUBSYS_06DE1028&REV_06\3&11583659&1&10, \\.\DISPLAY1",Microsoft Windows 10 Pro,10.0.15063  Build 15063
71647,Intel(R) Core(TM) i7-3720QM CPU @ 2.60GHz,8GB,1920x1080,NVIDIA Quadro K1000M,Microsoft Windows 10 Enterprise,10.0.15063  Build 15063
159665,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz,8GB 1073741824,"1920x1080 96,96 32","Intel(R) HD Graphics 530, PCI\VEN_8086&DEV_1912&SUBSYS_310217AA&REV_06\3&11583659&1&10",Microsoft Windows 7 專業版 ,6.1.7601 Service Pack 1 Build 7601
232792,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,8GB,1280x1024,Intel(R) HD Graphics 530,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
128293,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,16GB,1920x1080,NVIDIA Quadro K620,Microsoft Windows 8.1 Pro,6.3.9600  Build 9600
623193,Intel64 Family 6 Model 142 Stepping 9 Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,8GB 1073741824,"1366x768 96,96 32","Intel(R) HD Graphics 620, PCI\VEN_8086&DEV_5916&SUBSYS_8231103C&REV_02\3&11583659&0&10",Microsoft Windows 10 Pro,10.0.14393  Build 14393
204740,Intel(R) Core(TM) i3-5010U CPU @ 2.10GHz,4GB,1366x768,Intel(R) HD Graphics 5500,Microsoft Windows 8.1,6.3.9600  Build 9600
682251,Intel64 Family 6 Model 158 Stepping 9 Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz,8GB 1073741824,"1920x1080 96,96 32","Intel(R) HD Graphics 630, PCI\VEN_8086&DEV_5912&SUBSYS_D0001458&REV_04\3&11583659&0&10",Microsoft Windows 10 Pro,10.0.16299  Build 16299
2323,Intel64 Family 6 Model 71 Stepping 1 Intel(R) Core(TM) i7-5700HQ CPU @ 2.70GHz,16GB 1073741824,"1920x1080 120,120 32","Intel(R) HD Graphics 5600, PCI\VEN_8086&DEV_1612&SUBSYS_11381462&REV_0A\3&11583659&0&10",Microsoft Windows 10 Pro,10.0.14393  Build 14393
739821,Intel64 Family 6 Model 58 Stepping 9 Intel(R) Core(TM) i5-3210M CPU @ 2.50GHz,8GB 2214592512,"1920x1080 Touch 120,120 32","Intel(R) HD Graphics 4000, PCI\VEN_8086&DEV_0166&SUBSYS_10CB1462&REV_09\3&11583659&0&10",Microsoft Windows 10 Home,10.0.15063  Build 15063
110512,Intel64 Family 6 Model 61 Stepping 4 Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,4GB 1073741824,"1366x768 96,96 32","Intel(R) HD Graphics 5500, PCI\VEN_8086&DEV_1616&SUBSYS_2337103C&REV_09\3&11583659&0&10",Microsoft Windows 10 Home Single Language,10.0.15063  Build 15063
170669,Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz,8GB,1920x1080,Intel(R) HD Graphics 520,Microsoft Windows 10 Home,10.0.14393  Build 14393
556829,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,8GB,5120x2880,AMD RADEON R9 M390,Microsoft Windows 10 Pro,10.0.14393  Build 14393
633138,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,16GB,1920x1080,NVIDIA Quadro K1200,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
801110,Intel64 Family 6 Model 58 Stepping 9 Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,16GB 1073741824,"1920x1080 96,96 32","NVIDIA Quadro 600 , PCI\VEN_10DE&DEV_0DF8&SUBSYS_0835103C&REV_A1\4&317B53F2&0&0008",Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
112244,Intel(R) Core(TM) i7-5820K CPU @ 3.30GHz,24GB,1280x1024,NVIDIA Quadro K2000D,Microsoft Windows 10 Pro,10.0.10586  Build 10586
807452,"AMD A8-7600 Radeon R7, 10 Compute Cores 4C+6G  ",8GB,1024x768,Microsoft Basic Display Adapter,Microsoft Windows 10 Enterprise,10.0.10586  Build 10586
423230,"AMD64 Family 21 Model 101 Stepping 1 AMD A10-9600P RADEON R5, 10 COMPUTE CORES 4C+6G",3GB 536870912,"1366x768 96,96 32","AMD Radeon R5 Graphics, PCI\VEN_1002&DEV_9874&SUBSYS_13D01043&REV_CA\3&11583659&1&08",Microsoft Windows 10 家庭中文版,10.0.14393  Build 14393
486493,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz,16GB 1073741824,"1366x768 96,96 32","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_505F17AA&REV_07\3&11583659&0&10",Microsoft Windows 7 专业版 ,6.1.7601 Service Pack 1 Build 7601
14310,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,8GB,1440x900,Intel(R) HD Graphics 530,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
294353,Intel64 Family 6 Model 58 Stepping 9 Intel(R) Core(TM) i7-3720QM CPU @ 2.60GHz,8GB 1073741824,"2880x1800 Touch 192,192 32","NVIDIA GeForce GT 650M, PCI\VEN_10DE&DEV_0FD5&SUBSYS_00F2106B&REV_A1\4&1F605579&0&0008",Microsoft Windows 10 Pro,10.0.14393  Build 14393
794288,Intel64 Family 6 Model 42 Stepping 7 Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,8GB 2147483648,"2560x1440 96,96 32, 1920x1080 96,96 32","NVIDIA GeForce GTX 750 Ti, PCI\VEN_10DE&DEV_1380&SUBSYS_00000000&REV_A2\4&2E9A8D61&0&0008, \\.\DISPLAY1",Microsoft Windows 7 Professional K ,6.1.7601 Service Pack 1 Build 7601
601742,Intel(R) Core(TM) i7-2760QM CPU @ 2.40GHz,8GB,1920x1080,Intel(R) HD Graphics Family,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
130135,Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz,16GB,1920x1080,AMD FirePro W5130M,Microsoft Windows 8.1 Enterprise,6.3.9600  Build 9600
440726,Intel(R) Xeon(R) CPU E3-1231 v3 @ 3.40GHz,8GB,1920x1080,NVIDIA Quadro K620,Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
667227,Intel(R) Core(TM) i7-4700MQ CPU @ 2.40GHz,16GB,1366x768,Intel(R) HD Graphics 4600,Microsoft Windows 8.1 Single Language,6.3.9600  Build 9600
396848,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,32GB,1440x900,NVIDIA Quadro K2000D,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
271987,Intel64 Family 6 Model 158 Stepping 9 Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz,8GB 1073741824,"1920x1080 96,96 32","Intel(R) HD Graphics 630, PCI\VEN_8086&DEV_5912&SUBSYS_120A1025&REV_04\3&11583659&0&10",Майкрософт Windows 10 Pro,10.0.15063  Build 15063
744814,Intel(R) Core(TM) i5-3210M CPU @ 2.50GHz,8GB,1366x768,Intel(R) HD Graphics 4000,Microsoft Windows 10 Pro,10.0.10586  Build 10586
377889,x64 Family 6 Model 58 Stepping 9 Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,2GB 17113160551014400,"1280x1024 96,96 32","Intel(R) HD Graphics, PCI\VEN_8086&DEV_0152&SUBSYS_339A103C&REV_09\3&11583659&1&10",Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
590073,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz,8GB 1073741824,"1920x1080 120,120 32","Intel(R) HD Graphics 4600, PCI\VEN_8086&DEV_0416&SUBSYS_1A8D1043&REV_06\3&11583659&0&10",Microsoft Windows 10 专业版,10.0.16299  Build 16299
446466,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz,24GB 2147483648,"1920x1080 96,96 32, 1920x1080 96,96 32","NVIDIA GeForce GTX 750 Ti, PCI\VEN_10DE&DEV_1380&SUBSYS_105F10DE&REV_A2\4&519621C&0&0008, \\.\DISPLAY1",Microsoft Windows 10 Home,10.0.15063  Build 15063
734396,Intel64 Family 6 Model 62 Stepping 4 Intel(R) Xeon(R) CPU E5-1620 v2 @ 3.70GHz,32GB 2147483648,"1920x1080 96,96 32","NVIDIA Quadro K2000, PCI\VEN_10DE&DEV_0FFE&SUBSYS_094C103C&REV_A1\4&2B1C6285&0&0010",Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
546712,Intel(R) Core(TM) i5-3230M CPU @ 2.60GHz,8GB,1600x900,Intel(R) HD Graphics 4000,Microsoft Windows 8,6.2.9200  Build 9200
677637,Intel(R) Xeon(R) CPU E5-1603 0 @ 2.80GHz,12GB,1920x1200,NVIDIA Quadro K2000 ,Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601
582937,Intel64 Family 6 Model 23 Stepping 10 Pentium(R) Dual-Core  CPU      E5700  @ 3.00GHz,4GB 1894445056,"1360x768 96,96 32","Intel(R) G41 Express Chipset, PCI\VEN_8086&DEV_2E32&SUBSYS_31031565&REV_03\3&11583659&0&10",Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
